ERA,PRODUCT_NAME,PRODUCT_TYPE,SHADE_DEPTH_GROUP,UNDERTONE_INFERRED_CMYK,UNDERTONE_CONFIDENCE,SHADE_ROWS
revival,Legally Bronze Bronzer,Bronzer,medium,golden_warm,low,2
original_launch,Genius Gel Super-Charged Foundation,Foundation,medium,golden_warm,medium,2
original_launch,Genius Gel Super-Charged Foundation,Foundation,very_deep,neutral_warm,medium,1
original_launch,Perfection Powder Featherweight Foundation,Foundation,medium_deep,golden_warm,medium,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,medium,golden_warm,high,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,medium_deep,golden_warm,high,1
original_launch,Perfection Powder Featherweight Foundation,Foundation,very_fair,golden_warm,medium,1
revival,Legally Bronze Bronzer,Bronzer,fair,golden_warm,low,1
original_launch,Remedy Concealer Pen,Concealer,brightener,neutral_warm,low,1
original_launch,Remedy Concealer Pen,Concealer,light,neutral_warm,low,1
original_launch,Perfection Powder Featherweight Foundation,Foundation,light,golden_warm,medium,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,very_fair,neutral_warm,medium,1
original_launch,Remedy Concealer Pen,Concealer,medium,golden_warm,low,1
original_launch,Perfection Powder Featherweight Foundation,Foundation,light_medium,golden_warm,medium,1
original_launch,O!mega Bronze Perfect Tan,Bronzer,universal,golden_warm,medium,1
revival,Legally Bronze Bronzer,Bronzer,light_medium,golden_warm,low,2
original_launch,Genius Gel Super-Charged Foundation,Foundation,fair,neutral_warm,medium,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,light,neutral_warm,medium,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,light_medium,golden_warm,medium,2
original_launch,Genius Gel Super-Charged Foundation,Foundation,light,golden_warm,medium,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,light,golden_warm,high,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,medium_deep,golden_warm,medium,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,very_deep,golden_warm,medium,1
original_launch,Remedy Concealer Pen,Concealer,fair,neutral_warm,low,1
original_launch,Genius Gel Super-Charged Foundation,Foundation,deep,golden_warm,medium,2
revival,Legally Bronze Bronzer,Bronzer,light,golden_warm,low,1
revival,Legally Bronze Bronzer,Bronzer,deep,golden_warm,low,1
original_launch,Remedy Concealer Pen,Concealer,corrector,neutral_warm,low,1
original_launch,Remedy Concealer Pen,Concealer,light_medium,golden_warm,low,1
original_launch,Remedy Concealer Pen,Concealer,very_deep,golden_warm,low,1
original_launch,Perfection Powder Featherweight Foundation,Foundation,medium,golden_warm,high,2
original_launch,Perfection Powder Featherweight Foundation,Foundation,deep,golden_warm,medium,2
original_launch,Perfection Powder Featherweight Foundation,Foundation,very_deep,neutral_warm,medium,1
original_launch,Perfection Powder Featherweight Foundation,Foundation,fair,golden_warm,medium,1
revival,Legally Bronze Bronzer,Bronzer,medium_deep,golden_warm,low,2
original_launch,Remedy Concealer Pen,Concealer,deep,golden_warm,low,1
original_launch,Remedy Concealer Pen,Concealer,medium_deep,golden_warm,low,1
