ERA,SHADE_DEPTH_GROUP,GOLDEN_WARM_ROWS,NEUTRAL_WARM_ROWS,TOTAL_ROWS
original_launch,very_fair,1,1,2
original_launch,fair,1,2,3
original_launch,light,3,2,5
original_launch,light_medium,4,0,4
original_launch,medium,6,0,6
original_launch,medium_deep,4,0,4
original_launch,deep,5,0,5
original_launch,very_deep,2,2,4
original_launch,universal,1,0,1
original_launch,brightener,0,1,1
original_launch,corrector,0,1,1
revival,fair,1,0,1
revival,light,1,0,1
revival,light_medium,2,0,2
revival,medium,2,0,2
revival,medium_deep,2,0,2
revival,deep,1,0,1
