ERA,CATEGORY,COLOR_FAMILY,SHADE_ROWS
revival,Eyes,pink,2
revival,Eyes,green,3
revival,Eyes,white_silver,3
revival,Face,brown,9
original_launch,Lips,coral_orange,2
original_launch,Face,brown,1
revival,Lips,red,1
revival,Face,purple,1
original_launch,Eyes,purple,10
original_launch,Eyes,black_gray,4
revival,Eyes,blue,5
revival,Eyes,brown,4
revival,Eyes,yellow,1
original_launch,Eyes,gold_bronze,5
original_launch,Lips,purple,1
original_launch,Lips,clear_translucent,1
revival,Eyes,nude,2
original_launch,Face,pink,1
revival,Eyes,purple,1
revival,Lips,pink,4
original_launch,Face,gold_bronze,1
revival,Face,coral_orange,2
original_launch,Lips,pink,6
original_launch,Lips,nude,4
original_launch,Lips,red,4
revival,Eyes,coral_orange,1
revival,Face,red,1
original_launch,Lips,berry_plum,9
original_launch,Eyes,nude,9
original_launch,Face,coral_orange,1
revival,Eyes,gold_bronze,5
revival,Lips,brown,5
original_launch,Eyes,green,2
original_launch,Lips,brown,1
revival,Face,nude,2
revival,Face,white_silver,1
revival,Lips,nude,5
original_launch,Eyes,white_silver,4
original_launch,Eyes,brown,10
revival,Eyes,multi_duochrome,4
revival,Eyes,black_gray,5
revival,Eyes,berry_plum,2
revival,Lips,berry_plum,2
revival,Lips,coral_orange,2
revival,Face,berry_plum,1
original_launch,Face,nude,36
original_launch,Eyes,berry_plum,4
original_launch,Eyes,blue,3
revival,Lips,purple,1
original_launch,Face,purple,1
revival,Face,pink,3
original_launch,Face,berry_plum,4
original_launch,Eyes,coral_orange,1
